round,target_epoch,steps_per_epoch,updates_accumulated,candidate_id,lr,dropout,activation,hidden_dims,batch_size,weight_decay,pos_weight,pr_auc,roc_auc,f1,precision,recall,lift_at_10,threshold_f1,base_rate,top10_positive_rate,val_loss,duration_seconds
3,40,125,5000,520,0.001885499911654258,0.22375891459046593,relu,"[256, 64, 128, 256]",16384,5.823340043523053e-05,2.0,0.5369096857667642,0.7747466396629297,0.5130816718255546,0.45873531230674086,0.5820353878143513,3.244144570169679,0.3919132649898529,0.20000000298023224,0.64882892370224,0.6214575548956592,17.952438592910767
3,40,63,2520,2,0.0024744839195957693,0.33126942885127564,leaky_relu,"[128, 128, 128, 128]",32768,2.4658632538627263e-06,2.0,0.5368770201922619,0.7746638835923536,0.5133690316027691,0.4702900798250053,0.5651359409941543,3.2447328680048457,0.4028232991695404,0.20000000298023224,0.6489465832710266,0.6203213416237835,9.81563663482666
3,40,32,1280,241,0.005439966119278077,0.0605853907246757,leaky_relu,"[128, 32, 256]",65536,6.54094291170834e-05,4.0,0.536855378696805,0.7749506926410616,0.5138096028197688,0.47330243471220496,0.5618992506571462,3.243359875032904,0.5579361319541931,0.20000000298023224,0.6486719846725464,0.9035916881930941,4.445265769958496
3,40,125,5000,646,0.0033426795778267147,0.206893100749433,relu,"[64, 128, 256, 128]",16384,2.9351318132922096e-06,1.0,0.5368542656976373,0.7746184045211216,0.5132514487220793,0.46657519077537857,0.5703048373808309,3.242084633676937,0.2471821904182434,0.20000000298023224,0.6484169363975525,0.4095779832705234,18.054747104644775
3,40,63,2520,822,0.009196797323710187,0.0751392951043598,relu,"[32, 128]",32768,1.4657624630625362e-07,4.0,0.5368251269848118,0.7751444684081834,0.5138879520835301,0.4744708588320283,0.5604476440817607,3.241888534398548,0.5691459774971008,0.20000000298023224,0.6483777165412903,0.9051890820237924,6.42156195640564
3,40,125,5000,172,0.0033595136557025692,0.26334245367618786,relu,"[64, 256, 128]",16384,6.109641560343175e-07,2.0,0.5367356096503955,0.7744235690765092,0.5129652480201019,0.4727605058349668,0.5606438071324885,3.2447328680048457,0.41154155135154724,0.20000000298023224,0.6489465832710266,0.62201096121694,14.96077561378479
3,40,125,5000,534,0.00798908078634138,0.22831647603675687,relu,"[64, 64, 128]",16384,2.92968522094972e-07,2.0,0.5367030991276456,0.7745876910936645,0.5135537868513099,0.4710364356565293,0.5645082192318255,3.239730846289831,0.4021134674549103,0.20000000298023224,0.6479461789131165,0.6205778503535826,14.900561809539795
3,40,125,5000,826,0.0016358128026987642,0.0569773746150319,relu,"[64, 32]",16384,7.406393718437421e-07,1.0,0.5366189696540085,0.7742606271309644,0.5130606362930938,0.46819186041806604,0.5674408568402056,3.23904420079225,0.2611503601074219,0.20000000298023224,0.647808849811554,0.4094495850673555,12.220847129821777
3,40,63,2520,187,0.0063692800719115684,0.21110982412624063,relu,"[128, 32, 32]",32768,1.041751579291682e-07,1.0,0.5365616390387606,0.7745951101107479,0.5137594513803412,0.4655285045090979,0.5731393934638471,3.243654023950487,0.25440338253974915,0.20000000298023224,0.6487308144569397,0.4093404388202308,7.917068958282471
3,40,63,2520,432,0.0061910180770485025,0.14468374536018486,relu,"[32, 64, 256]",32768,6.875262413466666e-07,2.0,0.5364309925296782,0.7744551046279371,0.5129646130907743,0.4661209895941894,0.5702754129232218,3.240221094485803,0.3919171988964081,0.20000000298023224,0.648044228553772,0.6220929512326951,7.916221380233765
3,40,125,5000,620,0.0031250908984603648,0.13668756224461912,relu,"[32, 128]",16384,1.0420010807312668e-05,1.0,0.5364081404166234,0.7739727136237324,0.5129030053088474,0.4789980338584889,0.5519734002903213,3.2446348183656513,0.2751290500164032,0.20000000298023224,0.6489269733428955,0.41110125776972073,12.21869444847107
3,40,125,5000,199,0.003181595625734682,0.32344177895834153,leaky_relu,"[128, 128]",16384,1.1238018903539476e-06,2.0,0.5363924029520848,0.7743720739428466,0.5134934790128892,0.4737426740609949,0.5605261093020518,3.243359875032904,0.4216143488883972,0.20000000298023224,0.6486719846725464,0.6206595511302516,11.870471000671387
3,40,125,5000,294,0.003842689301703065,0.14130774806484434,relu,"[32, 128, 64]",16384,2.443581694929557e-07,2.0,0.5363001523303178,0.7744370865391749,0.51325187629165,0.47706669362720316,0.5553768292204481,3.2423790806177397,0.4175608456134796,0.20000000298023224,0.6484758257865906,0.621432296692579,14.85115098953247
3,40,125,5000,279,0.0037809281728008164,0.16157891677096065,leaky_relu,"[64, 32]",16384,1.1794772221760208e-07,4.0,0.5360392708898919,0.7742458248470696,0.513270972209023,0.4764861572070747,0.5562105221860411,3.238063406377086,0.5787191987037659,0.20000000298023224,0.6476126909255981,0.9038946807082832,11.892056941986084
3,40,125,5000,621,0.0056161490476446824,0.06593556871143376,leaky_relu,"[32, 64, 32, 32]",16384,4.8445484280362104e-05,1.0,0.5359765550755436,0.7742821533759566,0.5122497606163849,0.46915866502418846,0.5640570442151517,3.2371806616011165,0.26472899317741394,0.20000000298023224,0.6474361419677734,0.4098559698843302,17.935126781463623
3,40,125,5000,895,0.006519606501172061,0.286480509336998,leaky_relu,"[64, 64, 32]",16384,1.2226115917954452e-06,4.0,0.5353533406412174,0.7734786071845929,0.5124519351708772,0.4727333001823305,0.5594570206755856,3.2383575552946695,0.5909719467163086,0.20000000298023224,0.6476715207099915,0.9052035438466771,14.842238426208496
